33,Exhibit R-027,251.91,257.6,315.19,265.7,7ef22357-3c89-4e7f-858f-a3fd7f398cf8
35,Appendix R-02,392.56,200.72,464.09,209.0,7ef22357-3c89-4e7f-858f-a3fd7f398cf8
35,Appendix R-02,498.95,238.52,546.0,246.8,7ef22357-3c89-4e7f-858f-a3fd7f398cf8
35,Appendix R-02,126.73,257.6,145.81,265.88,7ef22357-3c89-4e7f-858f-a3fd7f398cf8
35,Appendix R-02,391.46,295.76,463.04,303.86,7ef22357-3c89-4e7f-858f-a3fd7f398cf8
35,Appendix R-02,132.61,466.59,202.7,474.51,7ef22357-3c89-4e7f-858f-a3fd7f398cf8
35,Appendix R-02,195.62,528.52,269.13,536.44,7ef22357-3c89-4e7f-858f-a3fd7f398cf8
35,Appendix R-02,323.07,604.12,396.22,612.4,7ef22357-3c89-4e7f-858f-a3fd7f398cf8
35,Exhibit R-A02.10,511.32,730.13,545.81,738.41,7ef22357-3c89-4e7f-858f-a3fd7f398cf8
35,Exhibit R-A02.10,189.74,749.21,231.22,757.13,7ef22357-3c89-4e7f-858f-a3fd7f398cf8
36,Appendix R-02,291.03,93.97,363.31,101.89,7ef22357-3c89-4e7f-858f-a3fd7f398cf8
36,Appendix R-02,451.07,276.86,520.85,284.96,7ef22357-3c89-4e7f-858f-a3fd7f398cf8
36,Appendix R-02,288.87,402.69,360.61,410.61,7ef22357-3c89-4e7f-858f-a3fd7f398cf8
36,Appendix R-02,484.53,642.29,545.82,650.57,7ef22357-3c89-4e7f-858f-a3fd7f398cf8
36,Appendix R-02,165.08,661.19,173.81,669.47,7ef22357-3c89-4e7f-858f-a3fd7f398cf8
36,Exhibit R-117,185.15,718.25,250.47,726.17,7ef22357-3c89-4e7f-858f-a3fd7f398cf8
37,Appendix R-02,286.51,124.75,355.78,133.03,7ef22357-3c89-4e7f-858f-a3fd7f398cf8
37,Appendix R-02,336.03,219.62,407.42,227.9,7ef22357-3c89-4e7f-858f-a3fd7f398cf8
37,Appendix R-02,287.43,314.84,360.22,322.94,7ef22357-3c89-4e7f-858f-a3fd7f398cf8
37,Exhibit R-A03.65,388.03,409.53,467.54,417.63,7ef22357-3c89-4e7f-858f-a3fd7f398cf8
37,Exhibit R-A03.66,265.41,447.51,345.53,455.79,7ef22357-3c89-4e7f-858f-a3fd7f398cf8
37,Appendix R-02,287.95,667.49,358.42,676.31,7ef22357-3c89-4e7f-858f-a3fd7f398cf8
38,Appendix R-02,221.9,93.97,294.55,102.07,7ef22357-3c89-4e7f-858f-a3fd7f398cf8
38,Exhibit R-A03.67,207.63,112.87,291.21,120.97,7ef22357-3c89-4e7f-858f-a3fd7f398cf8
38,Exhibit R-A03.68,170.39,131.95,251.02,140.05,7ef22357-3c89-4e7f-858f-a3fd7f398cf8
38,RWS-1,520.32,150.67,545.82,158.95,7ef22357-3c89-4e7f-858f-a3fd7f398cf8
38,RWS-1,165.62,169.75,169.4,178.03,7ef22357-3c89-4e7f-858f-a3fd7f398cf8
38,para. 8.30,181.1,169.75,230.54,178.03,7ef22357-3c89-4e7f-858f-a3fd7f398cf8
38,Exhibit R-07,227.99,555.34,288.97,563.44,7ef22357-3c89-4e7f-858f-a3fd7f398cf8
38,Exhibit R-118,170.39,631.49,233.82,639.41,7ef22357-3c89-4e7f-858f-a3fd7f398cf8
39,Appendix R-03,132.61,181.63,204.56,189.73,7ef22357-3c89-4e7f-858f-a3fd7f398cf8
39,Appendix R-03,466.73,421.41,540.05,429.69,7ef22357-3c89-4e7f-858f-a3fd7f398cf8
39,Appendix R-03,132.61,497.38,205.4,505.66,7ef22357-3c89-4e7f-858f-a3fd7f398cf8
40,Appendix R-03,400.46,74.71,473.12,82.99,7ef22357-3c89-4e7f-858f-a3fd7f398cf8
40,Exhibit R-056,275.49,374.61,340.8,382.71,7ef22357-3c89-4e7f-858f-a3fd7f398cf8
41,Exhibit R-056,407.11,74.89,472.79,82.99,7ef22357-3c89-4e7f-858f-a3fd7f398cf8
42,Exhibit R-056,394.51,597.28,457.22,605.56,7ef22357-3c89-4e7f-858f-a3fd7f398cf8
42,RWS-1,520.32,597.28,545.82,605.56,7ef22357-3c89-4e7f-858f-a3fd7f398cf8
42,RWS-1,165.62,616.36,169.31,624.28,7ef22357-3c89-4e7f-858f-a3fd7f398cf8
