schema,name,args,return_type,language,volatility,security_definer,lines,bytes,filename
public,et_doc_insert_detail,"parameter json, ref refcursor",refcursor,plpgsql,v,false,27,8520,public/et_doc_insert_detail.sql
public,et_download_change_serial,"parameter json, ref refcursor",refcursor,plpgsql,v,false,27,1165,public/et_download_change_serial.sql
public,et_download_getdata,"parameter json, ref refcursor",refcursor,plpgsql,v,false,75,4549,public/et_download_getdata.sql
public,et_download_getdata_backup_210725,"parameter json, ref refcursor",refcursor,plpgsql,v,false,75,4202,public/et_download_getdata_backup_210725.sql
public,et_download_index_data,"parameter json, ref1 refcursor, ref2 refcursor",SETOF refcursor,plpgsql,v,false,98,6458,public/et_download_index_data.sql
public,et_download_selected_files,"parameter json, ref refcursor",refcursor,plpgsql,v,false,99,6768,public/et_download_selected_files.sql
public,et_download_update_serial,"parameter json, ref refcursor",refcursor,plpgsql,v,false,28,1366,public/et_download_update_serial.sql
public,et_download_with_linkfiles,"parameter json, ref refcursor",refcursor,plpgsql,v,false,97,7068,public/et_download_with_linkfiles.sql
public,et_download_with_linkfiles_backup_210725,"parameter json, ref refcursor",refcursor,plpgsql,v,false,97,6757,public/et_download_with_linkfiles_backup_210725.sql
public,et_excel_bundle_batch,"parameter json, ref refcursor",refcursor,plpgsql,v,false,59,5080,public/et_excel_bundle_batch.sql
public,et_export_clear_all_exports,"parameter json, ref refcursor",refcursor,plpgsql,v,false,34,1014,public/et_export_clear_all_exports.sql
public,et_export_delete_file,"parameter json, ref refcursor",refcursor,plpgsql,v,false,34,881,public/et_export_delete_file.sql
public,et_export_fact_detail,"parameter json, ref refcursor",refcursor,plpgsql,v,false,95,3954,public/et_export_fact_detail.sql
public,et_export_file_complete,"parameter json, ref refcursor",refcursor,plpgsql,v,false,35,1669,public/et_export_file_complete.sql
public,et_export_files,"parameter json, ref refcursor",refcursor,plpgsql,v,false,53,1692,public/et_export_files.sql
public,et_export_files_test,"parameter json, ref refcursor",refcursor,plpgsql,v,false,48,2000,public/et_export_files_test.sql
public,et_export_get_data,"parameter json, ref refcursor",refcursor,plpgsql,v,false,66,3548,public/et_export_get_data.sql
public,et_export_get_data_1,"parameter json, ref refcursor",refcursor,plpgsql,v,false,109,6163,public/et_export_get_data_1.sql
public,et_export_grid,"parameter json, ref refcursor",refcursor,plpgsql,v,false,113,4609,public/et_export_grid.sql
public,et_export_grid_test,"parameter json, ref refcursor",refcursor,plpgsql,v,false,106,4259,public/et_export_grid_test.sql
public,et_export_insert_data,"parameter json, ref refcursor",refcursor,plpgsql,v,false,67,2860,public/et_export_insert_data.sql
public,et_export_insert_data_1,"parameter json, ref refcursor",refcursor,plpgsql,v,false,70,3457,public/et_export_insert_data_1.sql
public,et_export_update_progress,"parameter json, ref refcursor",refcursor,plpgsql,v,false,84,3503,public/et_export_update_progress.sql
public,et_export_update_progress_1,"parameter json, ref refcursor",refcursor,plpgsql,v,false,109,3930,public/et_export_update_progress_1.sql
public,et_export_update_single_pdf,"parameter json, ref refcursor",refcursor,plpgsql,v,false,29,866,public/et_export_update_single_pdf.sql
public,et_export_update_status,"parameter json, ref refcursor",refcursor,plpgsql,v,false,40,1252,public/et_export_update_status.sql
public,et_fact_convert,"parameter json, ref refcursor",refcursor,plpgsql,v,false,25,581,public/et_fact_convert.sql
public,et_fact_delete,"parameter json, ref refcursor",refcursor,plpgsql,v,false,35,1271,public/et_fact_delete.sql
public,et_fact_get_contact,"parameter json, ref refcursor",refcursor,plpgsql,v,false,29,838,public/et_fact_get_contact.sql
public,et_fact_get_detail,"parameter json, ref refcursor",refcursor,plpgsql,v,false,80,2810,public/et_fact_get_detail.sql
public,et_fact_get_issue,"parameter json, ref refcursor",refcursor,plpgsql,v,false,30,1019,public/et_fact_get_issue.sql
public,et_fact_get_issue_links,"parameter json, ref1 refcursor, ref2 refcursor",SETOF refcursor,plpgsql,v,false,44,1670,public/et_fact_get_issue_links.sql
public,et_fact_get_links,"parameter json, ref refcursor",refcursor,plpgsql,v,false,29,829,public/et_fact_get_links.sql
public,et_fact_get_shared,"parameter json, ref refcursor",refcursor,plpgsql,v,false,29,880,public/et_fact_get_shared.sql
public,et_fact_get_task,"parameter json, ref1 refcursor, ref2 refcursor",SETOF refcursor,plpgsql,v,false,49,1882,public/et_fact_get_task.sql
public,et_fact_get_task,"parameter json, ref1 refcursor, ref2 refcursor, ref3 refcursor",SETOF refcursor,plpgsql,v,false,57,2176,public/et_fact_get_task__1.sql
public,et_fact_get_task_old,"parameter json, ref1 refcursor, ref2 refcursor",SETOF refcursor,plpgsql,v,false,49,1886,public/et_fact_get_task_old.sql
public,et_fact_highlight_add,"parameter json, ref refcursor",refcursor,plpgsql,v,false,48,6292,public/et_fact_highlight_add.sql
public,et_fact_highlight_delete_by_uuid,"parameter json, ref refcursor",refcursor,plpgsql,v,false,47,1258,public/et_fact_highlight_delete_by_uuid.sql
public,et_fact_insert,"parameter json, ref refcursor",refcursor,plpgsql,v,false,39,1497,public/et_fact_insert.sql
