schema,name,severity,issue,details
public,et_realtime_sync_session_users,MEDIUM,VOLATILE_BUT_READ_ONLY,no INSERT/UPDATE/DELETE — should be STABLE
public,et_realtime_sync_sessiondetail,LOW,MULTIPLE_SELECT_INTO,3 SELECT INTO statements
public,et_realtime_sync_sessiondetail,LOW,SELECT_STAR,2 SELECT *
public,et_realtime_sync_sessions,LOW,MULTIPLE_SELECT_INTO,4 SELECT INTO statements
public,et_realtime_sync_sessions,LOW,SELECT_STAR,7 SELECT *
public,et_realtime_todays_sessions,MEDIUM,VOLATILE_BUT_READ_ONLY,no INSERT/UPDATE/DELETE — should be STABLE
public,et_realtime_transcriptfiles,MEDIUM,VOLATILE_BUT_READ_ONLY,no INSERT/UPDATE/DELETE — should be STABLE
public,et_realtime_upcomming_sessions,MEDIUM,VOLATILE_BUT_READ_ONLY,no INSERT/UPDATE/DELETE — should be STABLE
public,et_realtime_userlist,MEDIUM,VOLATILE_BUT_READ_ONLY,no INSERT/UPDATE/DELETE — should be STABLE
public,et_realtime_users_search,MEDIUM,VOLATILE_BUT_READ_ONLY,no INSERT/UPDATE/DELETE — should be STABLE
public,et_recent_files,MEDIUM,VOLATILE_BUT_READ_ONLY,no INSERT/UPDATE/DELETE — should be STABLE
public,et_rename_bundledetail,LOW,SELECT_STAR,1 SELECT *
public,et_rolelist,MEDIUM,VOLATILE_BUT_READ_ONLY,no INSERT/UPDATE/DELETE — should be STABLE
public,et_searched_files,MEDIUM,VOLATILE_BUT_READ_ONLY,no INSERT/UPDATE/DELETE — should be STABLE
public,et_searched_files,LOW,MANY_LEFT_JOINS_NO_DISTINCT,"5 LEFT JOIN(s), no DISTINCT — verify no row duplication"
public,et_sectionbuilder,LOW,SELECT_STAR,1 SELECT *
public,et_sectionbuilder,LOW,MANY_REFCURSORS,6 refcursors
public,et_sections,MEDIUM,VOLATILE_BUT_READ_ONLY,no INSERT/UPDATE/DELETE — should be STABLE
public,et_share_get_bundles_backupnow,MEDIUM,VOLATILE_BUT_READ_ONLY,no INSERT/UPDATE/DELETE — should be STABLE
public,et_share_get_bundles_backupnow,LOW,SELECT_STAR,2 SELECT *
