schema,name,severity,issue,details
realtime,et_fact_get_detail_single,LOW,MANY_LEFT_JOINS_NO_DISTINCT,"9 LEFT JOIN(s), no DISTINCT — verify no row duplication"
realtime,et_fact_get_shared,MEDIUM,VOLATILE_BUT_READ_ONLY,no INSERT/UPDATE/DELETE — should be STABLE
realtime,et_fact_insert,LOW,SELECT_STAR,1 SELECT *
realtime,et_fact_insert_issues,LOW,SELECT_STAR,1 SELECT *
realtime,et_factsheet_contacts,MEDIUM,VOLATILE_BUT_READ_ONLY,no INSERT/UPDATE/DELETE — should be STABLE
realtime,et_factsheet_delete,LOW,SELECT_STAR,2 SELECT *
realtime,et_factsheet_detail,MEDIUM,VOLATILE_BUT_READ_ONLY,no INSERT/UPDATE/DELETE — should be STABLE
realtime,et_factsheet_detail,LOW,SELECT_STAR,1 SELECT *
realtime,et_factsheet_detail,LOW,MANY_LEFT_JOINS_NO_DISTINCT,"4 LEFT JOIN(s), no DISTINCT — verify no row duplication"
realtime,et_factsheet_issues,MEDIUM,VOLATILE_BUT_READ_ONLY,no INSERT/UPDATE/DELETE — should be STABLE
realtime,et_factsheet_links,MEDIUM,VOLATILE_BUT_READ_ONLY,no INSERT/UPDATE/DELETE — should be STABLE
realtime,et_factsheet_shared,MEDIUM,VOLATILE_BUT_READ_ONLY,no INSERT/UPDATE/DELETE — should be STABLE
realtime,et_factsheet_shared,LOW,SELECT_STAR,1 SELECT *
realtime,et_factsheet_submit,LOW,MULTIPLE_SELECT_INTO,4 SELECT INTO statements
realtime,et_factsheet_submit,LOW,SELECT_STAR,12 SELECT *
